68,A37,Whooping cough
69,A370,Whooping cough due to Bordetella pertussis
70,A371,Whooping cough due to Bordetella parapertussis
71,A378,Whooping cough due to other Bordetella species
72,A379,Whooping cough, unspecified species
73,A38,Scarlet fever
74,A39,Meningococcal infection
75,A395,Meningococcal heart disease
76,A398,Other meningococcal infections
77,A399,Meningococcal infection, unspecified
78,A40,Streptococcal sepsis
79,A41,Other sepsis
80,A410,Sepsis due to Staphylococcus aureus
81,A411,Sepsis due to other specified staphylococcus
82,A412,Sepsis due to unspecified staphylococcus
83,A413,Sepsis due to Hemophilus influenzae
84,A414,Sepsis due to anaerobes
85,A415,Sepsis due to other Gram-negative organisms
86,A418,Other specified sepsis
87,A419,Sepsis, unspecified organism
88,A42,Actinomycosis
89,A428,Other forms of actinomycosis
90,A429,Actinomycosis, unspecified
91,A43,Nocardiosis
92,A44,Bartonellosis
93,A46,Erysipelas
94,A48,Other bacterial diseases, not elsewhere classified
95,A485,Other specified botulism
96,A488,Other specified bacterial diseases
97,A49,Bacterial infection of unspecified site
98,A490,Staphylococcal infection, unspecified site
99,A491,Streptococcal infection, unspecified site
100,A492,Hemophilus influenzae infection, unspecified site
101,A493,Mycoplasma infection, unspecified site
102,A498,Other bacterial infections of unspecified site
103,A499,Bacterial infection, unspecified
104,A50,Congenital syphilis
105,A500,Early congenital syphilis, symptomatic
106,A501,Early congenital syphilis, latent
107,A502,Early congenital syphilis, unspecified
108,A503,Late congenital syphilitic oculopathy
109,A504,Late congenital neurosyphilis [juvenile neurosyphilis]
110,A505,Other late congenital syphilis, symptomatic
111,A506,Late congenital syphilis, latent
112,A507,Late congenital syphilis, unspecified
113,A509,Congenital syphilis, unspecified
114,A51,Early syphilis
115,A513,Secondary syphilis of skin and mucous membranes
116,A514,Other secondary syphilis
117,A515,Early syphilis, latent
118,A519,Early syphilis, unspecified
119,A52,Late syphilis
120,A520,Cardiovascular and cerebrovascular syphilis
121,A521,Symptomatic neurosyphilis
122,A522,Asymptomatic neurosyphilis
123,A523,Neurosyphilis, unspecified
124,A527,Other symptomatic late syphilis
125,A528,Late syphilis, latent
126,A529,Late syphilis, unspecified
127,A53,Other and unspecified syphilis
128,A54,Gonococcal infection
129,A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
130,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
131,A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
132,A543,Gonococcal infection of eye
133,A544,Gonococcal infection of musculoskeletal system
134,A545,Gonococcal pharyngitis
135,A546,Gonococcal infection of anus and rectum
136,A548,Other gonococcal infections
137,A549,Gonococcal infection, unspecified
138,A55,Chlamydial lymphogranuloma (venereum)
139,A56,Other sexually transmitted chlamydial diseases
140,A560,Chlamydial infection of lower genitourinary tract
141,A561,Chlamydial infection of pelviperitoneum and other genitourinary organs
142,A562,Chlamydial infection of genitourinary tract, unspecified
143,A563,Chlamydial infection of anus and rectum
144,A564,Chlamydial infection of pharynx
145,A568,Sexually transmitted chlamydial infection of other sites
146,A57,Chancroid
147,A58,Granuloma inguinale
148,A59,Trichomoniasis
149,A590,Urogenital trichomoniasis
150,A598,Trichomoniasis of other sites
151,A599,Trichomoniasis, unspecified
152,A60,Anogenital herpesviral [herpes simplex] infections
153,A600,Herpesviral infection of genitalia and urogenital tract
154,A601,Herpesviral infection of perianal skin and rectum
155,A609,Anogenital herpesviral infection, unspecified
156,A63,Other predominantly sexually transmitted diseases, not elsewhere classified
157,A64,Unspecified sexually transmitted disease
158,A65,Nonvenereal syphilis
159,A66,Yaws
160,A67,Pinta [carate]
161,A68,Relapsing fevers
162,A69,Other spirochetal infections
163,A692,Lyme disease
164,A698,Other specified spirochetal infections
165,A699,Spirochetal infection, unspecified
166,A70,Chlamydia psittaci infections
167,A71,Trachoma
168,A74,Other diseases caused by chlamydiae
169,A748,Other chlamydial diseases
170,A749,Chlamydial infection, unspecified
171,A75,Typhus fever
172,A77,Spotted fever [tick-borne rickettsioses]
173,A774,Ehrlichiosis
174,A778,Other spotted fevers
175,A779,Spotted fever, unspecified
176,A78,Q fever
177,A79,Other rickettsioses
178,A798,Other specified rickettsioses
179,A799,Rickettsiosis, unspecified
180,A80,Acute poliomyelitis
181,A803,Acute paralytic poliomyelitis, other and unspecified
182,A804,Acute nonparalytic poliomyelitis
183,A809,Acute poliomyelitis, unspecified
184,A81,Atypical virus infections of central nervous system
185,A810,Creutzfeldt-Jakob disease
186,A811,Subacute sclerosing panencephalitis
187,A812,Progressive multifocal leukoencephalopathy
188,A818,Other atypical virus infections of central nervous system
189,A819,Atypical virus infection of central nervous system, unspecified
190,A82,Rabies
191,A83,Mosquito-borne viral encephalitis
192,A84,Tick-borne viral encephalitis
193,A85,Other viral encephalitis, not elsewhere classified
194,A86,Unspecified viral encephalitis
195,A87,Viral meningitis
196,A88,Other viral infections of central nervous system, not elsewhere classified
197,A89,Unspecified viral infection of central nervous system
198,A90,Dengue fever [classical dengue]
199,A91,Dengue hemorrhagic fever
200,A92,Other mosquito-borne viral fevers
201,A923,West Nile virus infection
202,A924,Rift Valley fever
203,A925,Zika virus disease
204,A928,Other specified mosquito-borne viral fevers
205,A929,Mosquito-borne viral fever, unspecified
206,A93,Other arthropod-borne viral fevers, not elsewhere classified
207,A94,Unspecified arthropod-borne viral fever
208,A95,Yellow fever
209,A96,Arenaviral hemorrhagic fever
210,A98,Other viral hemorrhagic fevers, not elsewhere classified
211,A99,Unspecified viral hemorrhagic fever
212,B00,Herpesviral [herpes simplex] infections
213,B005,Herpesviral ocular disease
214,B007,Disseminated herpesviral disease
215,B008,Other forms of herpesviral infections
216,B009,Herpesviral infection, unspecified
217,B01,Varicella [chickenpox]
218,B011,Varicella encephalitis, myelitis and encephalomyelitis
219,B012,Varicella pneumonia
220,B018,Varicella with other complications
221,B019,Varicella without complication
222,B02,Zoster [herpes zoster]
223,B022,Zoster with other nervous system involvement
224,B023,Zoster ocular disease
225,B027,Disseminated zoster
226,B028,Zoster with other complications
227,B029,Zoster without complications
228,B03,Smallpox
229,B04,Monkeypox
230,B05,Measles
231,B058,Measles with other complications
232,B059,Measles without complication
233,B06,Rubella [German measles]
234,B060,Rubella with neurological complications
235,B068,Rubella with other complications
236,B069,Rubella without complication
237,B07,Viral warts
238,B08,Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
239,B080,Other orthopoxvirus infections
240,B0801,Cowpox and vaccinia not from vaccine
241,B0802,Orf virus disease
242,B0803,Pseudocowpox [milker's node]
243,B0804,Paravaccinia, unspecified
244,B0809,Other orthopoxvirus infections
245,B081,Molluscum contagiosum
246,B082,Exanthema subitum [sixth disease]
247,B083,Erythema infectiosum [fifth disease]
248,B084,Enteroviral vesicular stomatitis with exanthem
249,B085,Enteroviral vesicular pharyngitis
250,B086,Parapoxvirus infections
251,B087,Yatapoxvirus infections
252,B088,Other specified viral infections characterized by skin and mucous membrane lesions
253,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
254,B10,Other human herpesviruses
255,B100,Other human herpesvirus encephalitis
256,B108,Other human herpesvirus infection
257,B15,Acute hepatitis A
258,B16,Acute hepatitis B
259,B17,Other acute viral hepatitis
260,B171,Acute hepatitis C
261,B172,Acute hepatitis E
262,B178,Other specified acute viral hepatitis
263,B179,Acute viral hepatitis, unspecified
264,B18,Chronic viral hepatitis
265,B19,Unspecified viral hepatitis
266,B191,Unspecified viral hepatitis B
267,B192,Unspecified viral hepatitis C
268,B199,Unspecified viral hepatitis without hepatic coma
269,B20,Human immunodeficiency virus [HIV] disease
270,B25,Cytomegaloviral disease
271,B26,Mumps
272,B268,Mumps with other complications
273,B269,Mumps without complication
274,B27,Infectious mononucleosis
275,B270,Gammaherpesviral mononucleosis
276,B271,Cytomegaloviral mononucleosis
277,B278,Other infectious mononucleosis
278,B279,Infectious mononucleosis, unspecified
279,B30,Viral conjunctivitis
280,B33,Other viral diseases, not elsewhere classified
281,B332,Viral carditis
282,B333,Retrovirus infections, not elsewhere classified
283,B334,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
284,B338,Other specified viral diseases
285,B34,Viral infection of unspecified site
286,B35,Dermatophytosis
287,B36,Other superficial mycoses
288,B37,Candidiasis
289,B374,Candidiasis of other urogenital sites
290,B375,Candidal meningitis
291,B376,Candidal endocarditis
292,B377,Candidal sepsis
293,B378,Candidiasis of other sites
294,B379,Candidiasis, unspecified
295,B38,Coccidioidomycosis
296,B388,Other forms of coccidioidomycosis
297,B389,Coccidioidomycosis, unspecified
298,B39,Histoplasmosis
299,B40,Blastomycosis
300,B408,Other forms of blastomycosis
301,B409,Blastomycosis, unspecified
302,B41,Paracoccidioidomycosis
303,B42,Sporotrichosis
304,B428,Other forms of sporotrichosis
305,B429,Sporotrichosis, unspecified
306,B43,Chromomycosis and pheomycotic abscess
307,B44,Aspergillosis
308,B448,Other forms of aspergillosis
309,B449,Aspergillosis, unspecified
310,B45,Cryptococcosis
311,B46,Zygomycosis
312,B47,Mycetoma
313,B48,Other mycoses, not elsewhere classified
314,B49,Unspecified mycosis
315,B50,Plasmodium falciparum malaria
316,B51,Plasmodium vivax malaria
317,B52,Plasmodium malariae malaria
318,B53,Other specified malaria
319,B54,Unspecified malaria
320,B55,Leishmaniasis
321,B56,African trypanosomiasis
322,B57,Chagas' disease
323,B573,Chagas' disease (chronic) with digestive system involvement
324,B574,Chagas' disease (chronic) with nervous system involvement
325,B575,Chagas' disease (chronic) with other organ involvement
326,B58,Toxoplasmosis
327,B580,Toxoplasma oculopathy
328,B581,Toxoplasma hepatitis
329,B582,Toxoplasma meningoencephalitis
330,B583,Pulmonary toxoplasmosis
331,B588,Toxoplasmosis with other organ involvement
332,B589,Toxoplasmosis, unspecified
333,B59,Pneumocystosis
334,B60,Other protozoal diseases, not elsewhere classified
335,B601,Acanthamebiasis
336,B602,Naegleriasis
337,B608,Other specified protozoal diseases
338,B64,Unspecified protozoal disease
339,B65,Schistosomiasis [bilharziasis]
340,B66,Other fluke infections
341,B67,Echinococcosis
342,B673,Echinococcus granulosus infection, other and multiple sites
343,B674,Echinococcus granulosus infection, unspecified
344,B675,Echinococcus multilocularis infection of liver
345,B676,Echinococcus multilocularis infection, other and multiple sites
346,B677,Echinococcus multilocularis infection, unspecified
347,B678,Echinococcosis, unspecified, of liver
348,B679,Echinococcosis, other and unspecified
349,B68,Taeniasis
350,B69,Cysticercosis
351,B698,Cysticercosis of other sites
352,B699,Cysticercosis, unspecified
353,B70,Diphyllobothriasis and sparganosis
354,B71,Other cestode infections
355,B72,Dracunculiasis
356,B73,Onchocerciasis
357,B730,Onchocerciasis with eye disease
358,B731,Onchocerciasis without eye disease
359,B74,Filariasis
360,B75,Trichinellosis
361,B76,Hookworm diseases
362,B77,Ascariasis
363,B778,Ascariasis with other complications
364,B779,Ascariasis, unspecified
365,B78,Strongyloidiasis
366,B79,Trichuriasis
367,B80,Enterobiasis
368,B81,Other intestinal helminthiases, not elsewhere classified
369,B82,Unspecified intestinal parasitism
370,B83,Other helminthiases
371,B85,Pediculosis and phthiriasis
372,B86,Scabies
373,B87,Myiasis
374,B878,Myiasis of other sites
375,B879,Myiasis, unspecified
376,B88,Other infestations
377,B89,Unspecified parasitic disease
378,B90,Sequelae of tuberculosis
379,B91,Sequelae of poliomyelitis
380,B92,Sequelae of leprosy
381,B94,Sequelae of other and unspecified infectious and parasitic diseases
382,B95,Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere
383,B956,Staphylococcus aureus as the cause of diseases classified elsewhere
384,B957,Other staphylococcus as the cause of diseases classified elsewhere
385,B958,Unspecified staphylococcus as the cause of diseases classified elsewhere
386,B96,Other bacterial agents as the cause of diseases classified elsewhere
387,B962,Escherichia coli [E. coli ] as the cause of diseases classified elsewhere
388,B963,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
389,B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
390,B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
391,B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
392,B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
393,B968,Other specified bacterial agents as the cause of diseases classified elsewhere
394,B97,Viral agents as the cause of diseases classified elsewhere
395,B971,Enterovirus as the cause of diseases classified elsewhere
396,B972,Coronavirus as the cause of diseases classified elsewhere
397,B973,Retrovirus as the cause of diseases classified elsewhere
398,B974,Respiratory syncytial virus as the cause of diseases classified elsewhere
399,B975,Reovirus as the cause of diseases classified elsewhere
400,B976,Parvovirus as the cause of diseases classified elsewhere
401,B977,Papillomavirus as the cause of diseases classified elsewhere
402,B978,Other viral agents as the cause of diseases classified elsewhere
403,B99,Other and unspecified infectious diseases
404,C00,Malignant neoplasm of lip
405,C01,Malignant neoplasm of base of tongue
406,C02,Malignant neoplasm of other and unspecified parts of tongue
407,C03,Malignant neoplasm of gum
408,C04,Malignant neoplasm of floor of mouth
409,C05,Malignant neoplasm of palate
410,C06,Malignant neoplasm of other and unspecified parts of mouth
411,C068,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth
412,C069,Malignant neoplasm of mouth, unspecified
413,C07,Malignant neoplasm of parotid gland
414,C08,Malignant neoplasm of other and unspecified major salivary glands
415,C09,Malignant neoplasm of tonsil
416,C10,Malignant neoplasm of oropharynx
417,C11,Malignant neoplasm of nasopharynx
418,C12,Malignant neoplasm of pyriform sinus
419,C13,Malignant neoplasm of hypopharynx
420,C14,Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx
421,C15,Malignant neoplasm of esophagus
422,C16,Malignant neoplasm of stomach
423,C17,Malignant neoplasm of small intestine
424,C18,Malignant neoplasm of colon
425,C19,Malignant neoplasm of rectosigmoid junction
426,C20,Malignant neoplasm of rectum
427,C21,Malignant neoplasm of anus and anal canal
428,C22,Malignant neoplasm of liver and intrahepatic bile ducts
429,C23,Malignant neoplasm of gallbladder
430,C24,Malignant neoplasm of other and unspecified parts of biliary tract
431,C25,Malignant neoplasm of pancreas
432,C26,Malignant neoplasm of other and ill-defined digestive organs
433,C30,Malignant neoplasm of nasal cavity and middle ear
434,C31,Malignant neoplasm of accessory sinuses
435,C32,Malignant neoplasm of larynx
436,C33,Malignant neoplasm of trachea
437,C34,Malignant neoplasm of bronchus and lung
438,C340,Malignant neoplasm of main bronchus
439,C341,Malignant neoplasm of upper lobe, bronchus or lung
440,C342,Malignant neoplasm of middle lobe, bronchus or lung
441,C343,Malignant neoplasm of lower lobe, bronchus or lung
442,C348,Malignant neoplasm of overlapping sites of bronchus and lung
443,C349,Malignant neoplasm of unspecified part of bronchus or lung
444,C37,Malignant neoplasm of thymus
445,C38,Malignant neoplasm of heart, mediastinum and pleura
446,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
447,C40,Malignant neoplasm of bone and articular cartilage of limbs
448,C400,Malignant neoplasm of scapula and long bones of upper limb
449,C401,Malignant neoplasm of short bones of upper limb
450,C402,Malignant neoplasm of long bones of lower limb
451,C403,Malignant neoplasm of short bones of lower limb
452,C408,Malignant neoplasm of overlapping sites of bone and articular cartilage of limb
453,C409,Malignant neoplasm of unspecified bones and articular cartilage of limb
454,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
455,C43,Malignant melanoma of skin
456,C431,Malignant melanoma of eyelid, including canthus
457,C432,Malignant melanoma of ear and external auricular canal
458,C433,Malignant melanoma of other and unspecified parts of face
459,C434,Malignant melanoma of scalp and neck
460,C435,Malignant melanoma of trunk
461,C436,Malignant melanoma of upper limb, including shoulder
462,C437,Malignant melanoma of lower limb, including hip
463,C438,Malignant melanoma of overlapping sites of skin
464,C439,Malignant melanoma of skin, unspecified
465,C4A,Merkel cell carcinoma
466,C4A1,Merkel cell carcinoma of eyelid, including canthus
467,C4A2,Merkel cell carcinoma of ear and external auricular canal
468,C4A3,Merkel cell carcinoma of other and unspecified parts of face
469,C4A4,Merkel cell carcinoma of scalp and neck
470,C4A5,Merkel cell carcinoma of trunk
471,C4A6,Merkel cell carcinoma of upper limb, including shoulder
472,C4A7,Merkel cell carcinoma of lower limb, including hip
473,C4A8,Merkel cell carcinoma of overlapping sites
474,C4A9,Merkel cell carcinoma, unspecified
475,C44,Other and unspecified malignant neoplasm of skin
476,C440,Other and unspecified malignant neoplasm of skin of lip
477,C441,Other and unspecified malignant neoplasm of skin of eyelid, including canthus
478,C4410,Unspecified malignant neoplasm of skin of eyelid, including canthus
479,C4411,Basal cell carcinoma of skin of eyelid, including canthus
480,C4412,Squamous cell carcinoma of skin of eyelid, including canthus
481,C4419,Other specified malignant neoplasm of skin of eyelid, including canthus
482,C442,Other and unspecified malignant neoplasm of skin of ear and external auricular canal
483,C4420,Unspecified malignant neoplasm of skin of ear and external auricular canal
484,C4421,Basal cell carcinoma of skin of ear and external auricular canal
485,C4422,Squamous cell carcinoma of skin of ear and external auricular canal
486,C4429,Other specified malignant neoplasm of skin of ear and external auricular canal
487,C443,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face
488,C4430,Unspecified malignant neoplasm of skin of other and unspecified parts of face
489,C4431,Basal cell carcinoma of skin of other and unspecified parts of face
490,C4432,Squamous cell carcinoma of skin of other and unspecified parts of face
491,C4439,Other specified malignant neoplasm of skin of other and unspecified parts of face
492,C444,Other and unspecified malignant neoplasm of skin of scalp and neck
493,C445,Other and unspecified malignant neoplasm of skin of trunk
494,C4450,Unspecified malignant neoplasm of skin of trunk
495,C4451,Basal cell carcinoma of skin of trunk
496,C4452,Squamous cell carcinoma of skin of trunk
497,C4459,Other specified malignant neoplasm of skin of trunk
498,C446,Other and unspecified malignant neoplasm of skin of upper limb, including shoulder
499,C4460,Unspecified malignant neoplasm of skin of upper limb, including shoulder
500,C4461,Basal cell carcinoma of skin of upper limb, including shoulder
501,C4462,Squamous cell carcinoma of skin of upper limb, including shoulder
502,C4469,Other specified malignant neoplasm of skin of upper limb, including shoulder
503,C447,Other and unspecified malignant neoplasm of skin of lower limb, including hip
504,C4470,Unspecified malignant neoplasm of skin of lower limb, including hip
505,C4471,Basal cell carcinoma of skin of lower limb, including hip
506,C4472,Squamous cell carcinoma of skin of lower limb, including hip
507,C4479,Other specified malignant neoplasm of skin of lower limb, including hip
508,C448,Other and unspecified malignant neoplasm of overlapping sites of skin
509,C449,Other and unspecified malignant neoplasm of skin, unspecified
510,C45,Mesothelioma
511,C46,Kaposi's sarcoma
512,C465,Kaposi's sarcoma of lung
513,C467,Kaposi's sarcoma of other sites
514,C469,Kaposi's sarcoma, unspecified
515,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
516,C471,Malignant neoplasm of peripheral nerves of upper limb, including shoulder
517,C472,Malignant neoplasm of peripheral nerves of lower limb, including hip
518,C473,Malignant neoplasm of peripheral nerves of thorax
519,C474,Malignant neoplasm of peripheral nerves of abdomen
520,C475,Malignant neoplasm of peripheral nerves of pelvis
521,C476,Malignant neoplasm of peripheral nerves of trunk, unspecified
522,C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
523,C479,Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
524,C48,Malignant neoplasm of retroperitoneum and peritoneum
525,C49,Malignant neoplasm of other connective and soft tissue
526,C491,Malignant neoplasm of connective and soft tissue of upper limb, including shoulder
527,C492,Malignant neoplasm of connective and soft tissue of lower limb, including hip
528,C493,Malignant neoplasm of connective and soft tissue of thorax
529,C494,Malignant neoplasm of connective and soft tissue of abdomen
530,C495,Malignant neoplasm of connective and soft tissue of pelvis
531,C496,Malignant neoplasm of connective and soft tissue of trunk, unspecified
532,C498,Malignant neoplasm of overlapping sites of connective and soft tissue
533,C499,Malignant neoplasm of connective and soft tissue, unspecified
534,C49A,Gastrointestinal stromal tumor
535,C50,Malignant neoplasm of breast
536,C500,Malignant neoplasm of nipple and areola
537,C5001,Malignant neoplasm of nipple and areola, female
538,C5002,Malignant neoplasm of nipple and areola, male
539,C501,Malignant neoplasm of central portion of breast
540,C5011,Malignant neoplasm of central portion of breast, female
541,C5012,Malignant neoplasm of central portion of breast, male
542,C502,Malignant neoplasm of upper-inner quadrant of breast
543,C5021,Malignant neoplasm of upper-inner quadrant of breast, female
544,C5022,Malignant neoplasm of upper-inner quadrant of breast, male
545,C503,Malignant neoplasm of lower-inner quadrant of breast
546,C5031,Malignant neoplasm of lower-inner quadrant of breast, female
547,C5032,Malignant neoplasm of lower-inner quadrant of breast, male
548,C504,Malignant neoplasm of upper-outer quadrant of breast
549,C5041,Malignant neoplasm of upper-outer quadrant of breast, female
550,C5042,Malignant neoplasm of upper-outer quadrant of breast, male
551,C505,Malignant neoplasm of lower-outer quadrant of breast
552,C5051,Malignant neoplasm of lower-outer quadrant of breast, female
553,C5052,Malignant neoplasm of lower-outer quadrant of breast, male
554,C506,Malignant neoplasm of axillary tail of breast
555,C5061,Malignant neoplasm of axillary tail of breast, female
556,C5062,Malignant neoplasm of axillary tail of breast, male
557,C508,Malignant neoplasm of overlapping sites of breast
558,C5081,Malignant neoplasm of overlapping sites of breast, female
559,C5082,Malignant neoplasm of overlapping sites of breast, male
560,C509,Malignant neoplasm of breast of unspecified site
561,C5091,Malignant neoplasm of breast of unspecified site, female
562,C5092,Malignant neoplasm of breast of unspecified site, male
563,C51,Malignant neoplasm of vulva
564,C52,Malignant neoplasm of vagina
565,C53,Malignant neoplasm of cervix uteri
566,C54,Malignant neoplasm of corpus uteri
567,C55,Malignant neoplasm of uterus, part unspecified
568,C56,Malignant neoplasm of ovary
569,C57,Malignant neoplasm of other and unspecified female genital organs
570,C570,Malignant neoplasm of fallopian tube
571,C571,Malignant neoplasm of broad ligament
572,C572,Malignant neoplasm of round ligament
573,C573,Malignant neoplasm of parametrium
574,C574,Malignant neoplasm of uterine adnexa, unspecified
575,C577,Malignant neoplasm of other specified female genital organs
576,C578,Malignant neoplasm of overlapping sites of female genital organs
577,C579,Malignant neoplasm of female genital organ, unspecified
578,C58,Malignant neoplasm of placenta
579,C60,Malignant neoplasm of penis
580,C61,Malignant neoplasm of prostate
581,C62,Malignant neoplasm of testis
582,C620,Malignant neoplasm of undescended testis
583,C621,Malignant neoplasm of descended testis
584,C629,Malignant neoplasm of testis, unspecified whether descended or undescended
585,C63,Malignant neoplasm of other and unspecified male genital organs
586,C630,Malignant neoplasm of epididymis
587,C631,Malignant neoplasm of spermatic cord
588,C632,Malignant neoplasm of scrotum
589,C637,Malignant neoplasm of other specified male genital organs
590,C638,Malignant neoplasm of overlapping sites of male genital organs
591,C639,Malignant neoplasm of male genital organ, unspecified
592,C64,Malignant neoplasm of kidney, except renal pelvis
593,C65,Malignant neoplasm of renal pelvis
594,C66,Malignant neoplasm of ureter
595,C67,Malignant neoplasm of bladder
596,C68,Malignant neoplasm of other and unspecified urinary organs
597,C69,Malignant neoplasm of eye and adnexa
598,C690,Malignant neoplasm of conjunctiva
599,C691,Malignant neoplasm of cornea
600,C692,Malignant neoplasm of retina
601,C693,Malignant neoplasm of choroid
602,C694,Malignant neoplasm of ciliary body
603,C695,Malignant neoplasm of lacrimal gland and duct
604,C696,Malignant neoplasm of orbit
605,C698,Malignant neoplasm of overlapping sites of eye and adnexa
606,C699,Malignant neoplasm of unspecified site of eye
607,C70,Malignant neoplasm of meninges
608,C71,Malignant neoplasm of brain
609,C72,Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system
610,C722,Malignant neoplasm of olfactory nerve
611,C723,Malignant neoplasm of optic nerve
612,C724,Malignant neoplasm of acoustic nerve
613,C725,Malignant neoplasm of other and unspecified cranial nerves
614,C729,Malignant neoplasm of central nervous system, unspecified
615,C73,Malignant neoplasm of thyroid gland
616,C74,Malignant neoplasm of adrenal gland
617,C740,Malignant neoplasm of cortex of adrenal gland
618,C741,Malignant neoplasm of medulla of adrenal gland
619,C749,Malignant neoplasm of unspecified part of adrenal gland
620,C75,Malignant neoplasm of other endocrine glands and related structures
621,C7A,Malignant neuroendocrine tumors
622,C7A0,Malignant carcinoid tumors
623,C7A01,Malignant carcinoid tumors of the small intestine
624,C7A02,Malignant carcinoid tumors of the appendix, large intestine, and rectum
625,C7A09,Malignant carcinoid tumors of other sites
626,C7A1,Malignant poorly differentiated neuroendocrine tumors
627,C7A8,Other malignant neuroendocrine tumors
628,C7B,Secondary neuroendocrine tumors
629,C7B0,Secondary carcinoid tumors
630,C7B1,Secondary Merkel cell carcinoma
631,C7B8,Other secondary neuroendocrine tumors
632,C76,Malignant neoplasm of other and ill-defined sites
633,C764,Malignant neoplasm of upper limb
634,C765,Malignant neoplasm of lower limb
635,C768,Malignant neoplasm of other specified ill-defined sites
636,C77,Secondary and unspecified malignant neoplasm of lymph nodes
637,C78,Secondary malignant neoplasm of respiratory and digestive organs
638,C780,Secondary malignant neoplasm of lung
639,C781,Secondary malignant neoplasm of mediastinum
640,C782,Secondary malignant neoplasm of pleura
641,C783,Secondary malignant neoplasm of other and unspecified respiratory organs
642,C784,Secondary malignant neoplasm of small intestine
643,C785,Secondary malignant neoplasm of large intestine and rectum
644,C786,Secondary malignant neoplasm of retroperitoneum and peritoneum
645,C787,Secondary malignant neoplasm of liver and intrahepatic bile duct
646,C788,Secondary malignant neoplasm of other and unspecified digestive organs
647,C79,Secondary malignant neoplasm of other and unspecified sites
648,C790,Secondary malignant neoplasm of kidney and renal pelvis
